patch_id,row,col,lon,lat
103,4,15,-52.102286478932236,-7.860258736045813
104,4,16,-51.203971194812716,-7.860258736045813
105,4,17,-50.30565591069319,-7.860258736045813
106,4,18,-49.40734062657367,-7.860258736045813
107,4,19,-48.50902534245415,-7.860258736045813
108,4,20,-47.61071005833463,-7.860258736045813
109,4,21,-46.71239477421511,-7.860258736045813
110,5,0,-65.57701574072506,-8.758574020165334
111,5,1,-64.67870045660554,-8.758574020165334
112,5,2,-63.780385172486014,-8.758574020165334
113,5,3,-62.882069888366495,-8.758574020165334
114,5,4,-61.983754604246975,-8.758574020165334
115,5,5,-61.08543932012745,-8.758574020165334
116,5,6,-60.18712403600793,-8.758574020165334
117,5,7,-59.28880875188841,-8.758574020165334
118,5,8,-58.390493467768884,-8.758574020165334
119,5,9,-57.492178183649365,-8.758574020165334
120,5,10,-56.593862899529846,-8.758574020165334
121,5,11,-55.69554761541032,-8.758574020165334
122,5,12,-54.7972323312908,-8.758574020165334
123,5,13,-53.89891704717128,-8.758574020165334
124,5,14,-53.00060176305176,-8.758574020165334
125,5,15,-52.102286478932236,-8.758574020165334
126,5,16,-51.203971194812716,-8.758574020165334
127,5,17,-50.30565591069319,-8.758574020165334
128,5,18,-49.40734062657367,-8.758574020165334
129,5,19,-48.50902534245415,-8.758574020165334
130,5,20,-47.61071005833463,-8.758574020165334
131,5,21,-46.71239477421511,-8.758574020165334
132,6,0,-65.57701574072506,-9.656889304284856
133,6,1,-64.67870045660554,-9.656889304284856
134,6,2,-63.780385172486014,-9.656889304284856
135,6,3,-62.882069888366495,-9.656889304284856
136,6,4,-61.983754604246975,-9.656889304284856
137,6,5,-61.08543932012745,-9.656889304284856
138,6,6,-60.18712403600793,-9.656889304284856
139,6,7,-59.28880875188841,-9.656889304284856
140,6,8,-58.390493467768884,-9.656889304284856
141,6,9,-57.492178183649365,-9.656889304284856
142,6,10,-56.593862899529846,-9.656889304284856
143,6,11,-55.69554761541032,-9.656889304284856
144,6,12,-54.7972323312908,-9.656889304284856
145,6,13,-53.89891704717128,-9.656889304284856
146,6,14,-53.00060176305176,-9.656889304284856
147,6,15,-52.102286478932236,-9.656889304284856
148,6,16,-51.203971194812716,-9.656889304284856
149,6,17,-50.30565591069319,-9.656889304284856
150,6,18,-49.40734062657367,-9.656889304284856
151,6,19,-48.50902534245415,-9.656889304284856
152,6,20,-47.61071005833463,-9.656889304284856
153,6,21,-46.71239477421511,-9.656889304284856
154,7,0,-65.57701574072506,-10.555204588404377
155,7,1,-64.67870045660554,-10.555204588404377
156,7,2,-63.780385172486014,-10.555204588404377
157,7,3,-62.882069888366495,-10.555204588404377
158,7,4,-61.983754604246975,-10.555204588404377
159,7,5,-61.08543932012745,-10.555204588404377
160,7,6,-60.18712403600793,-10.555204588404377
161,7,7,-59.28880875188841,-10.555204588404377
162,7,8,-58.390493467768884,-10.555204588404377
163,7,9,-57.492178183649365,-10.555204588404377
164,7,10,-56.593862899529846,-10.555204588404377
165,7,11,-55.69554761541032,-10.555204588404377
166,7,12,-54.7972323312908,-10.555204588404377
167,7,13,-53.89891704717128,-10.555204588404377
168,7,14,-53.00060176305176,-10.555204588404377
169,7,15,-52.102286478932236,-10.555204588404377
170,7,16,-51.203971194812716,-10.555204588404377
171,7,17,-50.30565591069319,-10.555204588404377
172,7,18,-49.40734062657367,-10.555204588404377
173,7,19,-48.50902534245415,-10.555204588404377
174,7,20,-47.61071005833463,-10.555204588404377
175,7,21,-46.71239477421511,-10.555204588404377
176,8,0,-65.57701574072506,-11.453519872523898
177,8,1,-64.67870045660554,-11.453519872523898
178,8,2,-63.780385172486014,-11.453519872523898
179,8,3,-62.882069888366495,-11.453519872523898
180,8,4,-61.983754604246975,-11.453519872523898
181,8,5,-61.08543932012745,-11.453519872523898
182,8,6,-60.18712403600793,-11.453519872523898
183,8,7,-59.28880875188841,-11.453519872523898
184,8,8,-58.390493467768884,-11.453519872523898
185,8,9,-57.492178183649365,-11.453519872523898
186,8,10,-56.593862899529846,-11.453519872523898
187,8,11,-55.69554761541032,-11.453519872523898
188,8,12,-54.7972323312908,-11.453519872523898
189,8,13,-53.89891704717128,-11.453519872523898
190,8,14,-53.00060176305176,-11.453519872523898
191,8,15,-52.102286478932236,-11.453519872523898
192,8,16,-51.203971194812716,-11.453519872523898
193,8,17,-50.30565591069319,-11.453519872523898
194,8,18,-49.40734062657367,-11.453519872523898
195,8,19,-48.50902534245415,-11.453519872523898
196,8,20,-47.61071005833463,-11.453519872523898
197,8,21,-46.71239477421511,-11.453519872523898
198,9,0,-65.57701574072506,-12.35183515664342
199,9,1,-64.67870045660554,-12.35183515664342
200,9,2,-63.780385172486014,-12.35183515664342
201,9,3,-62.882069888366495,-12.35183515664342
202,9,4,-61.983754604246975,-12.35183515664342
203,9,5,-61.08543932012745,-12.35183515664342
204,9,6,-60.18712403600793,-12.35183515664342
205,9,7,-59.28880875188841,-12.35183515664342
206,9,8,-58.390493467768884,-12.35183515664342
207,9,9,-57.492178183649365,-12.35183515664342
208,9,10,-56.593862899529846,-12.35183515664342
209,9,11,-55.69554761541032,-12.35183515664342
210,9,12,-54.7972323312908,-12.35183515664342
211,9,13,-53.89891704717128,-12.35183515664342
212,9,14,-53.00060176305176,-12.35183515664342
213,9,15,-52.102286478932236,-12.35183515664342
214,9,16,-51.203971194812716,-12.35183515664342
215,9,17,-50.30565591069319,-12.35183515664342
216,9,18,-49.40734062657367,-12.35183515664342
217,9,19,-48.50902534245415,-12.35183515664342
218,9,20,-47.61071005833463,-12.35183515664342
219,9,21,-46.71239477421511,-12.35183515664342
220,10,0,-65.57701574072506,-13.250150440762942
221,10,1,-64.67870045660554,-13.250150440762942
222,10,2,-63.780385172486014,-13.250150440762942
223,10,3,-62.882069888366495,-13.250150440762942
224,10,4,-61.983754604246975,-13.250150440762942
225,10,5,-61.08543932012745,-13.250150440762942
226,10,6,-60.18712403600793,-13.250150440762942
227,10,7,-59.28880875188841,-13.250150440762942
228,10,8,-58.390493467768884,-13.250150440762942
229,10,9,-57.492178183649365,-13.250150440762942
230,10,10,-56.593862899529846,-13.250150440762942
231,10,11,-55.69554761541032,-13.250150440762942
232,10,12,-54.7972323312908,-13.250150440762942
233,10,13,-53.89891704717128,-13.250150440762942
234,10,14,-53.00060176305176,-13.250150440762942
235,10,15,-52.102286478932236,-13.250150440762942
236,10,16,-51.203971194812716,-13.250150440762942
237,10,17,-50.30565591069319,-13.250150440762942
238,10,18,-49.40734062657367,-13.250150440762942
239,10,19,-48.50902534245415,-13.250150440762942
240,10,20,-47.61071005833463,-13.250150440762942
241,10,21,-46.71239477421511,-13.250150440762942
242,11,0,-65.57701574072506,-14.148465724882463
243,11,1,-64.67870045660554,-14.148465724882463
244,11,2,-63.780385172486014,-14.148465724882463
245,11,3,-62.882069888366495,-14.148465724882463
246,11,4,-61.983754604246975,-14.148465724882463
247,11,5,-61.08543932012745,-14.148465724882463
248,11,6,-60.18712403600793,-14.148465724882463
249,11,7,-59.28880875188841,-14.148465724882463
250,11,8,-58.390493467768884,-14.148465724882463
251,11,9,-57.492178183649365,-14.148465724882463
252,11,10,-56.593862899529846,-14.148465724882463
253,11,11,-55.69554761541032,-14.148465724882463
254,11,12,-54.7972323312908,-14.148465724882463
255,11,13,-53.89891704717128,-14.148465724882463
256,11,14,-53.00060176305176,-14.148465724882463
257,11,15,-52.102286478932236,-14.148465724882463
258,11,16,-51.203971194812716,-14.148465724882463
259,11,17,-50.30565591069319,-14.148465724882463
260,11,18,-49.40734062657367,-14.148465724882463
261,11,19,-48.50902534245415,-14.148465724882463
262,11,20,-47.61071005833463,-14.148465724882463
263,11,21,-46.71239477421511,-14.148465724882463
264,12,0,-65.57701574072506,-15.046781009001984
265,12,1,-64.67870045660554,-15.046781009001984
266,12,2,-63.780385172486014,-15.046781009001984
267,12,3,-62.882069888366495,-15.046781009001984
268,12,4,-61.983754604246975,-15.046781009001984
269,12,5,-61.08543932012745,-15.046781009001984
270,12,6,-60.18712403600793,-15.046781009001984
271,12,7,-59.28880875188841,-15.046781009001984
272,12,8,-58.390493467768884,-15.046781009001984
273,12,9,-57.492178183649365,-15.046781009001984
274,12,10,-56.593862899529846,-15.046781009001984
275,12,11,-55.69554761541032,-15.046781009001984
276,12,12,-54.7972323312908,-15.046781009001984
277,12,13,-53.89891704717128,-15.046781009001984
278,12,14,-53.00060176305176,-15.046781009001984
279,12,15,-52.102286478932236,-15.046781009001984
280,12,16,-51.203971194812716,-15.046781009001984
281,12,17,-50.30565591069319,-15.046781009001984
282,12,18,-49.40734062657367,-15.046781009001984
283,12,19,-48.50902534245415,-15.046781009001984
284,12,20,-47.61071005833463,-15.046781009001984
285,12,21,-46.71239477421511,-15.046781009001984
286,13,0,-65.57701574072506,-15.945096293121507
287,13,1,-64.67870045660554,-15.945096293121507
288,13,2,-63.780385172486014,-15.945096293121507
289,13,3,-62.882069888366495,-15.945096293121507
290,13,4,-61.983754604246975,-15.945096293121507
291,13,5,-61.08543932012745,-15.945096293121507
292,13,6,-60.18712403600793,-15.945096293121507
293,13,7,-59.28880875188841,-15.945096293121507
294,13,8,-58.390493467768884,-15.945096293121507
295,13,9,-57.492178183649365,-15.945096293121507
296,13,10,-56.593862899529846,-15.945096293121507
297,13,11,-55.69554761541032,-15.945096293121507
298,13,12,-54.7972323312908,-15.945096293121507
299,13,13,-53.89891704717128,-15.945096293121507
300,13,14,-53.00060176305176,-15.945096293121507
301,13,15,-52.102286478932236,-15.945096293121507
302,13,16,-51.203971194812716,-15.945096293121507
303,13,17,-50.30565591069319,-15.945096293121507
304,13,18,-49.40734062657367,-15.945096293121507
305,13,19,-48.50902534245415,-15.945096293121507
306,13,20,-47.61071005833463,-15.945096293121507
307,13,21,-46.71239477421511,-15.945096293121507
308,14,0,-65.57701574072506,-16.843411577241028
309,14,1,-64.67870045660554,-16.843411577241028
310,14,2,-63.780385172486014,-16.843411577241028
311,14,3,-62.882069888366495,-16.843411577241028
312,14,4,-61.983754604246975,-16.843411577241028
