patch_id,learned_neighbor_id,weight
66,118,0.0035979128
66,98,0.0035855873
67,331,0.003121865
67,43,0.0030840184
67,141,0.0030611895
68,44,0.0035461138
68,96,0.0035017263
68,99,0.0034882945
69,163,0.0034262391
69,19,0.003269379
69,86,0.0032358847
70,102,0.0033559618
70,176,0.0033423402
70,96,0.0033123102
71,75,0.004165229
71,118,0.003916921
71,56,0.0037874507
72,118,0.0037754893
72,44,0.0037449303
72,99,0.0036965758
73,118,0.003723446
73,102,0.003670861
73,75,0.0036692081
74,118,0.0037849648
74,102,0.0036155477
74,96,0.0035356488
75,102,0.003998769
75,118,0.0039963694
75,99,0.003895256
76,118,0.0038040408
76,44,0.003708977
76,75,0.0035554469
77,118,0.0036511552
77,75,0.0036205724
77,44,0.0036162273
78,102,0.0038843667
78,98,0.003565187
78,160,0.0035307498
79,75,0.0038173194
79,118,0.0037633774
79,37,0.0037386958
80,75,0.0038219357
80,44,0.0036514336
80,118,0.0036425865
81,25,0.0033429437
81,120,0.0033156252
81,75,0.0032048868
82,19,0.0035243821
82,17,0.0034328992
82,119,0.0033675642
83,75,0.0035503078
83,56,0.0035145998
83,99,0.0034613726
84,135,0.0034892831
84,145,0.0032708098
84,156,0.0032256073
85,187,0.0035549207
85,145,0.0034925004
85,156,0.0034753024
86,303,0.0045914166
86,213,0.0044043004
86,210,0.0044019804
87,152,0.0037564463
87,185,0.0037400133
87,187,0.003675624
88,14,0.0033225017
88,75,0.0033200358
88,76,0.0032933978
89,44,0.0032857913
89,88,0.0032334481
89,96,0.0032237354
90,118,0.0034569318
90,44,0.0033072245
90,117,0.00325436
91,185,0.0035147537
91,152,0.0034690464
91,218,0.0034485764
92,75,0.004244715
92,56,0.004044954
92,34,0.0039195316
93,75,0.0035111078
93,70,0.003393332
93,118,0.0033911406
94,118,0.004440654
94,102,0.0044192714
94,44,0.0039428514
95,118,0.0046772007
95,44,0.004387087
95,102,0.004062137
96,75,0.0034227576
96,118,0.003414302
96,99,0.0034099808
97,75,0.00382315
97,118,0.003783406
97,56,0.0036375234
98,102,0.0037420066
98,118,0.003618761
98,98,0.0034198593
99,102,0.0038302648
99,44,0.0037871262
99,96,0.0036645231
100,163,0.0035012355
100,19,0.0034984797
100,119,0.0033730804
101,39,0.0035553488
101,75,0.0035465593
101,56,0.0035168198
102,39,0.0033976792
102,69,0.0033246567
102,58,0.0033156734
103,118,0.0041819448
103,75,0.0040281457
103,102,0.0040274654
104,75,0.0042289924
104,118,0.0041897874
104,44,0.003907864
105,118,0.0036286917
105,98,0.0034450518
105,102,0.0034296147
106,179,0.0033325434
106,162,0.0033000994
106,136,0.0032968402
107,119,0.0036266078
107,19,0.003465047
107,156,0.003417758
108,303,0.0036739693
108,164,0.0035920213
108,213,0.0035914823
109,187,0.0039518415
109,145,0.003925549
109,185,0.0038197523
110,75,0.0034804936
110,176,0.0034458248
110,99,0.0034321372
111,329,0.003951885
111,145,0.0039406633
111,152,0.0038327063
112,163,0.0034357484
112,122,0.0033261804
112,187,0.0033152523
113,187,0.0033039919
113,330,0.0032913296
113,86,0.0032487256
114,119,0.0035994172
114,44,0.0035712644
114,37,0.0035303028
115,176,0.0035976234
115,141,0.0035671366
115,99,0.00353134
116,102,0.003793794
116,118,0.0036215587
116,119,0.0035778342
117,44,0.004177845
117,118,0.0041361838
117,102,0.0041042003
118,44,0.0037521261
118,119,0.0036264076
118,75,0.0035986605
119,75,0.003516368
119,56,0.0034635388
119,99,0.003457001
120,141,0.0033704934
120,17,0.0032067683
120,205,0.0031882178
121,184,0.0034890932
121,118,0.0034595667
121,102,0.0034138975
122,120,0.0035373152
122,32,0.0035145946
122,56,0.003489023
123,118,0.003931773
123,44,0.0036556646
123,66,0.0035972958
124,176,0.003328864
124,99,0.003294374
124,75,0.0032932437
125,44,0.003364309
125,118,0.003295708
125,102,0.0032553698
126,118,0.0043093646
126,102,0.0041228374
126,44,0.003969477
127,102,0.003511622
127,118,0.0034296114
127,44,0.0034164335
128,209,0.003506011
128,164,0.0034769578
128,128,0.0034535627
129,145,0.0037332503
129,187,0.0035311044
129,134,0.0034851572
130,145,0.004100941
130,303,0.004049962
130,231,0.0038739264
131,152,0.0035448505
131,303,0.0035415895
131,163,0.003481464
132,134,0.0035057827
132,187,0.003464008
132,141,0.0034152993
133,145,0.004893653
133,329,0.0042266315
133,303,0.0041584913
134,187,0.004089822
134,145,0.003997387
134,152,0.0039850455
135,209,0.005071465
135,210,0.004681741
135,122,0.004649967
136,271,0.0032772338
136,209,0.0032524483
136,187,0.0032464915
137,44,0.003609007
137,75,0.003491092
137,96,0.003456098
138,119,0.0034707643
138,118,0.0034670136
138,102,0.00344803
139,44,0.0034457967
139,96,0.0033763354
139,118,0.003358241
140,184,0.003669371
140,141,0.0034450027
140,102,0.0034394017
141,163,0.0035582497
141,159,0.0034503976
141,287,0.0033857431
142,145,0.0045646797
142,134,0.0041059894
142,165,0.0040555685
143,145,0.0043046945
143,303,0.0037625064
143,231,0.0036150783
144,141,0.0033409297
144,329,0.0032667557
144,205,0.0032461628
145,118,0.0036457994
145,98,0.003604745
145,102,0.0035902746
146,96,0.0031832478
146,102,0.003175357
146,140,0.0031216135
147,91,0.003301298
147,163,0.0032967555
147,221,0.0032585603
148,44,0.0035199157
148,119,0.0034685438
148,102,0.0034124637
149,211,0.0033224188
149,141,0.0031998148
149,5,0.0031744689
150,145,0.0039938744
150,231,0.003988248
150,303,0.0039713145
151,145,0.0038080553
151,303,0.0037072294
151,152,0.0035692814
152,145,0.004112944
152,303,0.0037925623
152,210,0.0036344526
153,150,0.0033393688
