patch_id,neighbor_id,attention_weight
145,146,0.21306658
145,167,0.37963066
146,124,0.16098687
146,145,0.20356037
146,147,0.30124095
146,168,0.33421177
147,125,0.27299318
147,146,0.15817575
147,148,0.34364235
147,169,0.22518876
148,126,0.338966
148,147,0.21739648
148,149,0.21150185
148,170,0.2321356
149,127,0.21281128
149,148,0.3174272
149,150,0.28791437
149,171,0.18184714
150,128,0.18184555
150,149,0.15152366
150,151,0.42093068
150,172,0.2457001
151,129,0.23498814
151,150,0.18289338
151,152,0.26917636
151,173,0.31294215
152,130,0.19127798
152,151,0.27193877
152,153,0.23636231
152,174,0.30042097
153,131,0.28371683
153,152,0.33637404
153,175,0.37990916
154,132,0.35189041
154,155,0.4289933
154,176,0.21911632
155,133,0.24796729
155,154,0.17142291
155,156,0.44229227
155,177,0.13831753
156,134,0.26892862
156,155,0.2123585
156,157,0.28466156
156,178,0.23405133
157,135,0.19500309
157,156,0.37045917
157,158,0.2186476
157,179,0.21589011
158,136,0.1918705
158,157,0.31638107
158,159,0.2174149
158,180,0.27433357
159,137,0.17948961
159,158,0.29787818
159,160,0.21786551
159,181,0.3047667
160,138,0.21772106
160,159,0.29578662
160,161,0.274475
160,182,0.21201731
161,139,0.23182917
161,160,0.25464937
161,162,0.24747327
161,183,0.2660482
162,140,0.18186903
162,161,0.28034243
162,163,0.26880965
162,184,0.26897892
163,141,0.24458104
163,162,0.2222764
163,164,0.27474937
163,185,0.25839317
164,142,0.27060127
164,163,0.2154512
164,165,0.25332874
164,186,0.2606188
165,143,0.22751273
165,164,0.19154029
165,166,0.31003892
165,187,0.27090812
166,144,0.23374091
166,165,0.15975423
166,167,0.32677454
166,188,0.27973035
167,145,0.16693677
167,166,0.24298859
167,168,0.2735298
167,189,0.3165448
168,146,0.15079843
168,167,0.2791356
168,169,0.22448003
168,190,0.34558597
169,147,0.22167273
169,168,0.25863636
169,170,0.235352
169,191,0.28433886
170,148,0.3783668
170,169,0.24742457
170,171,0.21918201
170,192,0.15502661
171,149,0.22634491
171,170,0.25342488
171,172,0.36538085
171,193,0.1548493
172,150,0.24328037
172,171,0.14435549
172,173,0.40621075
172,194,0.20615338
173,151,0.30272686
173,172,0.17501923
173,174,0.3336276
173,195,0.18862635
174,152,0.2201406
174,173,0.2500243
174,175,0.24434993
174,196,0.28548518
175,153,0.30097774
175,174,0.3771422
175,197,0.32188007
176,154,0.39681348
176,177,0.31557414
176,198,0.2876124
177,155,0.31575376
177,176,0.15877493
177,178,0.34418845
177,199,0.18128288
178,156,0.42814505
178,177,0.13301417
178,179,0.24551442
178,200,0.19332631
179,157,0.31712213
179,178,0.2591218
179,180,0.27361894
179,201,0.15013714
180,158,0.24277343
180,179,0.24146037
180,181,0.24817598
180,202,0.26759014
181,159,0.23743574
181,180,0.30191866
181,182,0.17212173
181,203,0.28852385
182,160,0.21033669
