patch_id,learned_neighbor_id,weight
54,9,0.0030312166
54,178,0.00302543
54,227,0.0030030562
55,183,0.0031085073
55,52,0.0030861003
55,227,0.0030817648
56,301,0.0030643067
56,226,0.0030055079
56,204,0.0030021046
57,90,0.0030466982
57,299,0.0029792017
57,246,0.0029681055
58,339,0.0030472819
58,322,0.00304088
58,324,0.00301936
59,53,0.003153971
59,233,0.0030872747
59,128,0.0030782102
60,160,0.003068147
60,69,0.003034462
60,267,0.0030184826
61,295,0.0031317226
61,5,0.0031247549
61,301,0.0030974667
62,301,0.0030581348
62,235,0.0030336468
62,277,0.0030224565
63,32,0.0029776157
63,30,0.0029738506
63,312,0.0029674782
64,291,0.0030596368
64,81,0.0030393691
64,308,0.0030292359
65,32,0.0029884374
65,90,0.0029744252
65,306,0.0029512027
66,160,0.0030295777
66,184,0.0030002692
66,305,0.002995341
67,322,0.0030568282
67,331,0.0030293053
67,233,0.0030073319
68,204,0.0030822929
68,157,0.0030767578
68,185,0.003068936
69,331,0.003031873
69,53,0.003014639
69,266,0.003014191
70,96,0.0030606585
70,44,0.0030051514
70,76,0.0030034392
71,336,0.0031386008
71,257,0.0031215104
71,14,0.0031166358
72,287,0.0030136062
72,52,0.0030128048
72,54,0.0029853825
73,152,0.0031116586
73,212,0.0031111576
73,145,0.0030753128
74,212,0.003022093
74,279,0.0029753083
74,53,0.0029752324
75,134,0.0031175767
75,86,0.0030850002
75,176,0.0030798416
76,253,0.0030454027
76,50,0.0030317178
76,209,0.003027571
77,271,0.003077245
77,249,0.0030698131
77,223,0.0030559523
78,134,0.0031358425
78,318,0.003086495
78,107,0.003068793
79,312,0.0031049761
79,339,0.003081186
79,12,0.0030779408
80,301,0.0030072827
80,25,0.0029972992
80,18,0.0029884824
81,89,0.0031055554
81,235,0.0030966282
81,310,0.00307942
82,206,0.0032550455
82,150,0.0032155812
82,270,0.0031778032
83,68,0.0032014882
83,44,0.0031615205
83,70,0.0031598343
84,54,0.0030472956
84,303,0.0030400243
84,212,0.0030196907
85,233,0.003031872
85,135,0.0030298596
85,276,0.0029948829
86,295,0.003070247
86,98,0.0030530305
86,66,0.003041157
87,287,0.0030998846
87,293,0.003094185
87,243,0.0030910112
88,68,0.0031681615
88,276,0.003157759
88,135,0.0031523504
89,229,0.0030888736
89,226,0.0030616748
89,89,0.0030491264
90,54,0.0030256493
90,135,0.0030234768
90,117,0.002999023
91,212,0.003042192
91,181,0.003031628
91,96,0.0030179175
92,125,0.0031799562
92,68,0.0031352243
92,306,0.003106019
93,68,0.0030229387
93,231,0.0030111661
93,44,0.0030055502
94,81,0.0031778263
94,330,0.003128277
94,74,0.0030748593
95,89,0.0031004325
95,322,0.003089303
95,231,0.0030386082
96,52,0.0030969153
96,54,0.003095157
96,182,0.003056155
97,246,0.003128321
97,69,0.003109356
97,349,0.0030858554
98,227,0.0030556663
98,312,0.0030140774
98,318,0.002989055
99,229,0.003057283
99,342,0.003042837
99,186,0.0030153003
100,163,0.0030911502
100,309,0.003086483
100,277,0.0030709244
101,312,0.0031403813
101,14,0.0031371224
101,30,0.0031146803
102,185,0.0030238123
102,321,0.0030181704
102,218,0.0029914693
103,39,0.0030290629
103,34,0.0030112728
103,247,0.0029985982
104,177,0.003155011
104,223,0.0031444097
104,32,0.0031434956
105,246,0.0029659728
105,150,0.0029601164
105,189,0.0029542497
106,145,0.0031166293
106,212,0.003073072
106,13,0.0030560598
107,39,0.0030302114
107,119,0.0030053519
107,68,0.0030032159
108,81,0.003120507
108,315,0.0030722946
108,308,0.0030533527
109,17,0.002966653
109,86,0.0029556667
109,150,0.0029524309
110,176,0.0030158586
110,184,0.0029921695
110,323,0.002983441
111,182,0.003041479
111,279,0.0030224703
111,125,0.0030223117
112,156,0.0030406516
112,19,0.0030378245
112,44,0.0030331488
113,53,0.0030642608
113,98,0.0029913906
113,69,0.002984566
114,159,0.0031053717
114,25,0.003091932
114,19,0.0030844747
115,176,0.0031878327
115,183,0.003137238
115,32,0.0031252897
116,339,0.0030948573
116,342,0.0030444968
116,96,0.003040702
117,54,0.0030775315
117,44,0.0030533771
117,298,0.0030401025
118,339,0.0030828454
118,119,0.0030671647
118,287,0.0030404
119,301,0.0030243932
119,227,0.0030236996
119,25,0.0030127969
120,206,0.003081838
120,183,0.0029991865
120,205,0.0029689039
121,81,0.0031622897
121,160,0.0031125455
121,184,0.0031098349
122,125,0.0031895086
122,328,0.0031689766
122,135,0.0031679666
123,253,0.0030694446
123,209,0.0030200132
123,321,0.0030088078
124,32,0.003097384
124,246,0.0030922845
124,18,0.0030385333
