patch_id,kendall_tau,p_value
105,-0.0913647755753019,0.11876956593461858
106,0.5570745044429256,1.879855313868059e-21
107,-0.09182046024151287,0.1169419712347424
108,-0.19594440647072228,0.0008212013787172823
109,-0.2558669400774664,1.250093316987685e-05
110,0.23741171109592166,5.044419545447572e-05
111,-0.4426976532239691,4.074168661965203e-14
112,-0.4581909318751425,5.1523336419961005e-15
113,-0.21758942811574394,0.0002031118044384658
114,-0.2693096377306904,4.261906634776688e-06
115,-0.3135110503531557,8.656677544436709e-08
116,-0.3786739576213261,1.0098707014628258e-10
117,-0.2237411711095922,0.00013337106976865236
118,0.24174071542492595,3.66772091890022e-05
119,-0.22670312143996357,0.00010851381610287055
120,-0.11073137388926864,0.05867460106943177
121,0.08270676691729324,0.15791095722765736
122,0.38368648894964685,5.713398304087819e-11
123,0.6609706083390295,1.5495401260386145e-29
124,0.5126452494873549,2.0796241170921637e-18
125,-0.0330371383002962,0.5727031205196847
126,-0.2820688083845979,1.4644025676553754e-06
127,-0.44133059922533613,4.8735011437712365e-14
128,-0.3529277739804056,1.681954705181845e-09
129,-0.3599908863066758,7.922532780467902e-10
130,-0.3845978582820689,5.14734424268708e-11
131,-0.39393939393939403,1.7426173388721757e-11
132,-0.22282980177717024,0.00014204022001109386
133,-0.2955115060378219,4.5221095790782337e-07
134,-0.38072453861927547,8.006540711059175e-11
135,-0.21667805878332197,0.0002159789533428322
136,0.2237411711095922,0.00013337106976865236
137,-0.1446798815219868,0.013501514818151733
138,-0.17817270448849398,0.00234922439920874
139,-0.015493278651173389,0.7913702383826869
140,0.28503075871496925,1.1353143505491526e-06
141,0.4212804739120529,6.341627555532597e-13
142,0.4668489405331511,1.5744307061032205e-15
143,0.15857826384142176,0.0067779859867893215
144,-0.4520391888812942,1.1807517962601245e-14
145,-0.6165413533834587,6.500294000341995e-26
146,-0.5379357484620643,4.126899266549984e-20
147,-0.33447254499886087,1.1246439187846354e-08
148,-0.16131237183868766,0.00588282770449202
149,-0.26634768740031906,5.425825209122433e-06
150,-0.4853041695146959,1.1705524403759454e-16
151,-0.5857826384142174,1.4990515145995767e-23
152,-0.2971064023695603,3.92036506007746e-07
153,-0.17224880382775123,0.003271860928262771
154,0.25814536340852134,1.0453922944747852e-05
155,0.1856915014809752,0.0015218192662104072
156,-0.3194349510138984,4.924329735757588e-08
157,-0.22009569377990434,0.00017134103817861919
158,-0.1854636591478697,0.0015423225225821783
159,0.13283208020050127,0.023331014256981093
160,0.291410344041923,6.506930922438102e-07
161,0.34632034632034636,3.3580648229126906e-09
162,-0.5053542948279791,6.221520713666658e-18
163,-0.5892002734107998,8.30109148139106e-24
164,-0.4299384825700615,2.1239263410028864e-13
165,-0.4187742082478925,8.669174632344241e-13
166,-0.354522670312144,1.420777070320579e-09
167,-0.3431305536568695,4.667877282577851e-09
168,-0.46502620186830723,2.0244011851010015e-15
169,-0.14149008885850994,0.01570081700621472
170,-0.27796764638869903,2.0746847711445353e-06
171,0.10025062656641605,0.08695644338584181
172,0.08020050125313284,0.17089283717222137
173,0.17589428115743908,0.0026714549727009634
174,-0.39234449760765555,2.1002815981739822e-11
175,-0.5374800637958533,4.436139969519261e-20
176,-0.3331054910002279,1.2896420374123023e-08
177,0.2629300524037367,7.147148239615111e-06
178,0.1446798815219868,0.013501514818151733
179,0.43586238323080434,9.924789954027897e-14
180,-0.5092276144907725,3.4825401961093006e-18
181,-0.6245158350421509,1.516884073156207e-26
182,-0.5064935064935066,5.247754537135945e-18
