patch_id,neighbor_id,attention_weight
141,119,0.31578946
141,140,0.2631579
141,142,0.10526316
141,163,0.31578946
142,120,0.36842105
142,141,0.15789473
142,143,0.2631579
142,164,0.21052632
143,121,0.21052632
143,142,0.15789473
143,144,0.36842105
143,165,0.2631579
144,122,0.31578946
144,143,0.05263158
144,145,0.36842105
144,166,0.2631579
145,123,0.21052632
145,144,0.2631579
145,146,0.10526316
145,167,0.42105263
146,124,0.21052632
146,145,0.15789473
146,147,0.21052632
146,168,0.42105263
147,125,0.2631579
147,146,0.15789473
147,148,0.15789473
147,169,0.42105263
148,126,0.10526316
148,147,0.21052632
148,149,0.31578946
148,170,0.36842105
149,127,0.21052632
149,148,0.21052632
149,150,0.21052632
149,171,0.36842105
150,128,0.15789473
150,149,0.36842105
150,151,0.15789473
150,172,0.31578946
151,129,0.42105263
151,150,0.2631579
151,152,0.10526316
151,173,0.21052632
152,130,0.2631579
152,151,0.2631579
152,153,0.10526316
152,174,0.36842105
153,131,0.2631579
153,152,0.36842105
153,175,0.36842105
154,132,0.15789473
154,155,0.21052632
154,176,0.6315789
155,133,0.21052632
155,154,0.2631579
155,156,0.2631579
155,177,0.2631579
156,134,0.2631579
156,155,0.21052632
156,157,0.36842105
156,178,0.15789473
157,135,0.2631579
157,156,0.21052632
157,158,0.31578946
157,179,0.21052632
158,136,0.2631579
158,157,0.15789473
158,159,0.21052632
158,180,0.36842105
159,137,0.36842105
159,158,0.2631579
159,160,0.15789473
159,181,0.21052632
160,138,0.36842105
160,159,0.21052632
160,161,0.21052632
160,182,0.21052632
161,139,0.31578946
161,160,0.21052632
161,162,0.31578946
161,183,0.15789473
162,140,0.42105263
162,161,0.05263158
162,163,0.36842105
162,184,0.15789473
163,141,0.31578946
163,162,0.15789473
163,164,0.42105263
163,185,0.10526316
164,142,0.2631579
164,163,0.21052632
164,165,0.2631579
164,186,0.2631579
165,143,0.21052632
165,164,0.10526316
165,166,0.42105263
165,187,0.2631579
166,144,0.36842105
166,165,0.05263158
166,167,0.36842105
166,188,0.21052632
167,145,0.31578946
167,166,0.10526316
167,168,0.31578946
167,189,0.2631579
168,146,0.2631579
168,167,0.10526316
168,169,0.2631579
168,190,0.36842105
169,147,0.21052632
169,168,0.31578946
169,170,0.15789473
169,191,0.31578946
170,148,0.31578946
170,169,0.2631579
170,171,0.15789473
170,192,0.2631579
171,149,0.31578946
171,170,0.21052632
171,172,0.21052632
171,193,0.2631579
172,150,0.15789473
172,171,0.42105263
