patch_id,kendall_tau,p_value,row,col,lon,lat,local_morans_i,cluster_type
89,0.2608794714057872,8.41881079783581e-06,4,1,-64.67870045660554,-7.860258736045813,0.33387641588199546,HH
90,-0.1528822055137844,0.0090461399494842,4,2,-63.780385172486014,-7.860258736045813,-0.13974090910720618,LH
91,0.3522442469810891,1.807704128905918e-09,4,3,-62.882069888366495,-7.860258736045813,0.13454673438273448,HH
92,0.2226019594440647,0.0001442889778556,4,4,-61.983754604246975,-7.860258736045813,0.09249858318377922,HH
93,0.1731601731601731,0.0031112114765812,4,5,-61.08543932012745,-7.860258736045813,0.1610243794442669,HH
94,0.5946684894053316,3.2018267067930634e-24,4,6,-60.18712403600793,-7.860258736045813,1.0331650188934278,HH
95,0.7564365459102301,3.6866079206463967e-38,4,7,-59.28880875188841,-7.860258736045813,1.9105250594261873,HH
96,0.8211437685121896,1.1731621728067562e-44,4,8,-58.39049346776888,-7.860258736045813,2.766112492129585,HH
97,0.7944862155388472,6.455309982196355e-42,4,9,-57.492178183649365,-7.860258736045813,2.1891816855450865,HH
98,0.2695374800637959,4.183052946946441e-06,4,10,-56.593862899529846,-7.860258736045813,0.5796083411224312,HH
99,0.5142401458190933,1.6330255807236409e-18,4,11,-55.69554761541032,-7.860258736045813,0.9480231311290942,HH
100,0.6459330143540671,2.780440278662574e-28,4,12,-54.7972323312908,-7.860258736045813,1.3768150255247094,HH
101,0.571656413761677,1.6642853800559026e-22,4,13,-53.89891704717128,-7.860258736045813,1.4301320122469527,HH
102,0.5005696058327638,1.2664892467859789e-17,4,14,-53.00060176305176,-7.860258736045813,1.148219765830027,HH
103,0.585099111414901,1.686463886614097e-23,4,15,-52.10228647893224,-7.860258736045813,0.4879920653507518,HH
104,0.0722260195944406,0.2175069141365249,4,16,-51.20397119481272,-7.860258736045813,0.002019756893781932,LL
105,-0.3488266119845067,2.587179977880167e-09,4,17,-50.30565591069319,-7.860258736045813,1.1281353222112787,LL
106,-0.5682387787650947,2.9538703242524486e-22,4,18,-49.40734062657367,-7.860258736045813,1.8478636451246502,LL
107,-0.3488266119845067,2.587179977880167e-09,4,19,-48.50902534245415,-7.860258736045813,1.2540472997128593,LL
108,-0.559125085440875,1.3417478909695936e-21,4,20,-47.61071005833463,-7.860258736045813,1.5439072347804297,LL
109,-0.4878104351788562,8.162555582064186e-17,4,21,-46.71239477421511,-7.860258736045813,1.829374393603461,LL
110,0.5996810207336524,1.3269161417048124e-24,5,0,-65.57701574072506,-8.758574020165334,1.2847976716788863,HH
111,0.3356117566643883,1.0029837688596806e-08,5,1,-64.67870045660554,-8.758574020165334,0.2917280435880602,HH
112,-0.2943722943722944,5.005487473582599e-07,5,2,-63.780385172486014,-8.758574020165334,-0.04741950601761713,LH
